wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
962.96,1156.41938,1021.581032,1110.9619,1277.94954,1292.07856,1236.8712,1233.0321,1244.2686,1249.8724,1255.0,1260.0,1234.6752
965.2,1158.58082,1029.652124,1119.3477,1280.593,1294.07512,1244.3629,1239.3192,1252.3889,1255.5968,1164.0,1216.0,1244.8883
967.44,1162.07904,1026.64456,1124.5905,1286.3825000000002,1293.5746199999999,1245.9727,1240.1737,1253.41,1255.2894,1207.0,1296.0,1244.6564
969.68,1167.29564,1028.3638859999999,1128.5834,1285.25488,1295.8763199999999,1251.3497,1243.9348,1256.4193,1254.7491,1367.0,1238.0,1250.324
971.92,1167.25964,1030.33668,1118.5333,1291.5112000000001,1295.16716,1253.5435,1248.1802,1262.0753,1258.9158,1348.0,1266.0,1259.4607
974.16,1165.8451,1029.03452,1130.8595,1292.42252,1295.58756,1260.8352,1254.7577,1265.1887,1264.4978,1321.0,1200.0,1267.0305
976.4,1175.4980799999998,1038.836732,1134.7833,1298.11836,1304.87088,1263.8928,1261.067,1269.6293,1267.503,1350.0,1288.0,1269.0359
978.65,1173.91084,1045.401702,1133.9333,1298.8809,1295.4526799999999,1271.8572,1264.4967,1273.1002,1266.6812,1202.0,1192.0,1282.029
980.89,1172.94942,1041.916708,1134.2142,1301.95342,1307.2439200000001,1270.5453,1264.3167,1275.9823,1266.7526,1279.0,1289.0,1279.0881
983.14,1178.8369200000002,1054.21496,1119.231,1319.41088,1306.6125200000001,1275.0469,1269.8285,1276.1277,1267.5566,1169.0,1449.0,1292.2974
985.38,1184.28824,1056.98403,1135.5381,1315.4207000000001,1308.17074,1280.8441,1275.547,1281.7723,1272.3966,1290.0,1254.0,1298.6243
987.63,1181.73948,1058.0208,1129.0952,1311.09874,1301.4170399999998,1287.3707,1282.6222,1290.5431,1274.284,1350.0,1263.0,1312.0625
989.88,1181.5419399999998,1068.38254,1130.6857,1317.2492200000002,1305.14066,1285.3004,1279.9215,1287.6975,1273.0658,1376.0,1389.0,1308.6324
992.13,1183.1311799999999,1063.705188,1138.6119,1312.3768400000001,1303.3394,1290.9467,1284.5786,1295.1492,1277.1454,1423.0,1451.0,1313.491
994.38,1185.0130199999999,1074.63738,1150.2428,1322.4658,1308.13438,1298.634,1288.7336,1295.7645,1282.8446,1303.0,1346.0,1322.5288
996.63,1192.99996,1074.45018,1136.4023,1331.30854,1310.42056,1302.6849,1296.1681,1302.3292,1280.885,1318.0,1488.0,1329.4375
998.88,1187.4179,1078.17616,1155.8619,1322.82664,1310.99026,1303.5332,1300.3943,1306.2833,1287.5675,1383.0,1128.0,1336.1748
1001.13,1204.7886,1072.5165000000002,1141.4476,1330.74794,1317.3968399999999,1311.7549,1306.1123,1308.7322,1289.853,1228.0,1177.0,1342.9517
1003.38,1208.73992,1083.22292,1127.3309,1333.56268,1319.79064,1316.4064,1315.2699,1318.24,1296.4589,1348.0,1618.0,1354.4501
1005.64,1190.11062,1086.8054399999999,1173.8429,1342.29092,1312.54992,1322.8851,1318.9814,1322.6232,1297.8938,1275.0,1414.0,1357.026
1007.9,1196.69128,1104.70498,1164.7285,1351.15628,1316.9099,1328.9602,1325.0165,1328.987,1304.0221,1064.0,1356.0,1376.0629
1010.14,1201.66808,1095.0659799999999,1156.3572,1352.09752,1314.3057199999998,1339.5703,1334.4261,1338.164,1305.216,1334.0,1312.0,1382.8165
1012.4,1218.2324800000001,1109.24432,1147.0167,1362.03506,1323.2635,1349.7795,1338.8395,1345.0043,1313.3218,907.0,1389.0,1393.4856
1014.66,1237.4131000000002,1125.1758,1164.4048,1383.3684,1340.663,1360.1361,1358.8893,1364.9846,1326.5712,1359.0,1415.0,1414.6093
1016.92,1222.67716,1121.02512,1155.0571,1368.28364,1326.52234,1358.6359,1354.8018,1361.9852,1326.151,1428.0,1580.0,1412.8907
1019.18,1218.9147600000001,1114.48932,1138.7047,1375.40134,1330.22806,1364.0588,1362.4867,1362.886,1323.9159,1157.0,1542.0,1425.242
